product_id,product_name,category,unit_price,brand
1,Enhanced content-based time-frame,Electronics,235.79,"Frazier, King and King"
2,Optional intangible infrastructure,Electronics,151.62,Williams Inc
3,Innovative radical superstructure,Clothing,151.86,"Hughes, Payne and Baird"
4,Profound hybrid concept,Home & Garden,498.42,"Cervantes, Hughes and Rodgers"
5,Programmable tangible model,Beauty,193.77,Bender-Jensen
6,Down-sized encompassing extranet,Books,144.82,"Shannon, Scott and Smith"
7,Fully-configurable systemic utilization,Toys,18.65,"Lowe, Dean and Miller"
8,Optimized regional strategy,Home & Garden,259.7,Butler-Miller
9,Synchronized exuding flexibility,Sports,67.48,Horn PLC
10,Focused tangible projection,Sports,137.54,Melton PLC
11,Fully-configurable needs-based algorithm,Clothing,291.06,Foster Ltd
12,Ergonomic encompassing leverage,Books,17.81,Richards-Ballard
13,Stand-alone demand-driven methodology,Clothing,92.88,Morrison-Glover
14,Self-enabling reciprocal neural-net,Books,103.64,Davis Ltd
15,Diverse cohesive website,Home & Garden,440.78,Jones and Sons
16,Cross-platform motivating task-force,Clothing,45.1,White-Smith
17,Distributed disintermediate paradigm,Beauty,110.78,Cox and Sons
18,Compatible content-based encryption,Clothing,92.91,Walsh-Jennings
19,Synergistic asymmetric frame,Home & Garden,36.42,Wheeler and Sons
20,Configurable composite matrix,Clothing,159.78,White Inc
21,Reactive radical interface,Toys,63.39,Lopez-Bass
22,Enterprise-wide regional hardware,Home & Garden,464.22,"Smith, Charles and Sanchez"
23,Switchable zero administration knowledgebase,Home & Garden,452.85,Reid-Ross
24,Re-engineered tangible solution,Home & Garden,312.27,Smith Inc
25,Team-oriented bi-directional projection,Toys,186.08,"Fowler, Walton and Miller"
26,Persistent homogeneous Graphical User Interface,Books,69.47,Hoover and Sons
27,Implemented fault-tolerant moderator,Clothing,108.35,Scott and Sons
28,Profound zero-defect matrices,Sports,155.1,Watson Inc
29,Intuitive executive success,Clothing,175.59,Torres-Montgomery
30,Customizable maximized product,Beauty,130.96,Hurst Ltd
31,Reactive local access,Sports,20.11,Webb PLC
32,Enterprise-wide 5thgeneration extranet,Clothing,35.28,Williams and Sons
33,Switchable upward-trending success,Clothing,30.04,"Smith, Kane and Fitzpatrick"
34,Exclusive executive product,Home & Garden,94.32,"Bradley, Wilson and Monroe"
35,Down-sized bifurcated implementation,Sports,92.92,"Maldonado, Johnson and Callahan"
36,Triple-buffered didactic conglomeration,Sports,17.75,Wolfe-Payne
37,Devolved systemic support,Home & Garden,494.58,Lopez-Hayes
38,Diverse high-level circuit,Books,102.19,"Melton, Henson and Davis"
39,Customizable bandwidth-monitored Internet solution,Sports,31.37,Elliott-Swanson
40,Down-sized multi-tasking synergy,Beauty,174.71,Jackson Group
41,Proactive systematic algorithm,Electronics,731.73,Curry Inc
42,Open-architected local middleware,Clothing,263.09,Rodriguez Group
43,Persistent user-facing monitoring,Clothing,253.79,Doyle-Benton
44,Adaptive context-sensitive functionalities,Beauty,106.66,Cook PLC
45,Object-based eco-centric system engine,Home & Garden,288.17,Reynolds and Sons
46,Vision-oriented 3rdgeneration concept,Beauty,121.28,Williams PLC
47,Innovative attitude-oriented matrices,Books,199.62,"Roman, Bender and Clark"
48,Ameliorated executive service-desk,Electronics,1075.73,Ward and Sons
49,Compatible real-time model,Books,44.31,Maxwell-Brown
50,Mandatory 4thgeneration knowledge user,Electronics,530.01,Pope-Smith
51,Fundamental motivating functionalities,Sports,138.61,Kelley Group
52,Pre-emptive local approach,Home & Garden,27.59,Harrington PLC
53,Function-based intermediate knowledge user,Beauty,196.45,"Vasquez, Gross and Hansen"
54,Up-sized discrete algorithm,Electronics,818.63,"Cole, Nelson and Phillips"
55,Balanced global migration,Books,186.54,Morris Ltd
56,Adaptive attitude-oriented methodology,Electronics,1682.11,Ramos Group
57,Stand-alone radical intranet,Clothing,28.08,Spears and Sons
58,Reactive contextually-based open system,Sports,167.83,Wilson Ltd
59,Reactive disintermediate capacity,Beauty,101.17,Ward Inc
60,Versatile cohesive architecture,Beauty,191.49,Scott Group
61,Exclusive human-resource monitoring,Books,135.02,Jones PLC
62,Right-sized 6thgeneration hierarchy,Home & Garden,485.34,White Inc
63,Open-architected foreground architecture,Beauty,128.25,Craig Ltd
64,Universal encompassing leverage,Sports,71.73,Ball Group
65,Business-focused static infrastructure,Beauty,199.97,Fernandez-Crosby
66,Organic non-volatile Internet solution,Toys,118.14,"Hawkins, Crane and Mccoy"
67,Cross-group cohesive toolset,Clothing,261.72,Gallegos-West
68,Switchable real-time algorithm,Toys,132.29,Walters-Daniels
69,Configurable dynamic moratorium,Home & Garden,402.1,"Boyd, Ray and Sloan"
70,Cross-platform web-enabled focus group,Beauty,23.44,Hale-Porter
71,Team-oriented impactful Local Area Network,Books,82.46,Butler-Jones
72,Mandatory clear-thinking flexibility,Sports,58.48,"Ross, Johnson and Webb"
73,Re-contextualized coherent utilization,Clothing,290.21,Cole LLC
74,Managed asynchronous matrices,Toys,85.79,Chang-Williams
75,Distributed static database,Electronics,1712.07,"Smith, Padilla and Bell"
76,Focused fault-tolerant knowledge user,Clothing,128.78,"Sawyer, Alexander and Sandoval"
77,Inverse content-based superstructure,Sports,64.14,Brown LLC
78,Sharable optimizing project,Toys,191.34,"White, Adams and Elliott"
79,Phased zero tolerance encoding,Clothing,53.77,Fletcher-Porter
80,Persevering composite process improvement,Sports,162.21,"Walter, Lee and Fuller"
81,Mandatory tangible leverage,Beauty,163.21,"Sims, Martin and Santana"
82,Assimilated reciprocal encryption,Home & Garden,453.31,"Shaw, Wade and Gonzalez"
83,Robust multi-tasking function,Books,34.94,Mitchell-Mitchell
84,Devolved systematic knowledgebase,Beauty,28.26,Richards and Sons
85,Intuitive uniform task-force,Home & Garden,263.64,Flynn-Reed
86,Triple-buffered disintermediate portal,Sports,94.63,Tran PLC
87,Operative stable knowledgebase,Sports,100.52,Martin-Maddox
88,Phased dynamic groupware,Books,124.06,Rivas LLC
89,Adaptive human-resource product,Electronics,1525.16,Brown Inc
90,Open-source interactive core,Toys,79.96,Nelson Inc
91,Customizable empowering solution,Clothing,141.55,Davis Group
92,Team-oriented dedicated extranet,Sports,27.66,"Mercer, Thompson and Russo"
93,Extended impactful concept,Books,74.93,"Hawkins, White and Robinson"
94,Multi-lateral logistical alliance,Sports,138.52,Hill-Cox
95,Universal bottom-line support,Beauty,140.38,"Harding, Harris and Pitts"
96,Digitized attitude-oriented archive,Clothing,280.59,Mcdonald LLC
97,Re-engineered empowering frame,Books,129.62,"Cook, May and Jackson"
98,Configurable responsive neural-net,Books,25.95,"Higgins, White and Garrett"
99,Innovative homogeneous encoding,Sports,93.1,"Rodriguez, Richardson and Martin"
100,Customizable bottom-line installation,Toys,100.75,Goodwin-May
101,Enhanced eco-centric protocol,Clothing,295.57,Roberts-Willis
102,Profit-focused leadingedge conglomeration,Beauty,181.55,Alexander-Harris
103,Extended solution-oriented process improvement,Toys,57.24,"Rice, Simpson and Duran"
104,Re-contextualized bottom-line hierarchy,Sports,66.14,Dickerson Inc
105,Persistent foreground workforce,Electronics,1124.44,Green Ltd
106,Compatible multi-tasking definition,Electronics,1051.16,Castillo-Carroll
107,Synergized disintermediate application,Books,90.73,Rosario-Hess
108,Realigned composite firmware,Electronics,956.08,Singh-Bright
109,Assimilated uniform middleware,Beauty,118.01,Taylor Group
110,Innovative disintermediate synergy,Home & Garden,187.4,Nichols-Becker
111,Networked composite function,Books,25.54,Garner Ltd
112,Compatible encompassing product,Books,13.09,Smith-Fisher
113,User-friendly optimizing info-mediaries,Beauty,135.7,Swanson Group
114,Right-sized responsive installation,Clothing,240.13,Brady LLC
115,Robust bi-directional workforce,Toys,84.66,Lloyd Inc
116,Programmable mobile policy,Electronics,861.69,"Fuller, Cruz and Smith"
117,Compatible zero administration flexibility,Beauty,66.55,Miller-Perkins
118,Customer-focused bi-directional concept,Books,147.58,Smith-Acosta
119,Ergonomic attitude-oriented instruction set,Toys,137.35,Smith LLC
120,Virtual actuating contingency,Books,163.49,Martin-Hebert
121,Secured needs-based instruction set,Home & Garden,483.86,"Hayden, Fowler and Rodriguez"
122,Enhanced analyzing neural-net,Toys,163.9,Oneal-Baker
123,Total reciprocal neural-net,Clothing,71.82,Thomas-Johnson
124,Persistent regional infrastructure,Beauty,196.62,Williamson-Olsen
125,Versatile local middleware,Home & Garden,437.73,Martin-Huynh
126,Stand-alone asymmetric forecast,Electronics,895.91,Ramirez LLC
127,Devolved eco-centric infrastructure,Electronics,61.4,May and Sons
128,Pre-emptive composite encryption,Electronics,75.94,"Anthony, Lowery and Jones"
129,Multi-channeled optimal hub,Beauty,100.65,Stone LLC
130,User-centric radical strategy,Beauty,86.97,"Nelson, Hester and Keller"
131,Total intermediate data-warehouse,Beauty,193.5,Park-Lynch
132,Down-sized optimizing emulation,Books,147.92,Morgan Group
133,Polarized object-oriented leverage,Home & Garden,314.97,"Hoover, Davidson and Allison"
134,Expanded human-resource intranet,Books,78.54,Smith-Collins
135,Self-enabling bandwidth-monitored analyzer,Beauty,193.0,Willis-Jacobs
136,Upgradable systematic monitoring,Beauty,85.05,Stewart LLC
137,Focused non-volatile approach,Home & Garden,57.5,Peterson Group
138,User-centric 4thgeneration challenge,Clothing,23.89,"Kelly, Arnold and Ortiz"
139,Self-enabling human-resource interface,Electronics,1641.14,"Smith, Williamson and Lewis"
140,Integrated systematic Local Area Network,Beauty,194.4,Smith-Tucker
141,Configurable composite array,Toys,15.09,Davis LLC
142,De-engineered human-resource concept,Sports,133.24,"Taylor, Collins and Rios"
143,Customer-focused multi-tasking adapter,Beauty,55.94,Bond LLC
144,Reduced explicit approach,Toys,128.95,"Bailey, Hartman and Schultz"
145,Inverse impactful hub,Toys,112.33,Rogers LLC
146,Stand-alone dynamic leverage,Electronics,636.79,Gallagher-Landry
147,Managed 5thgeneration knowledge user,Sports,38.15,"Kline, Morse and House"
148,Vision-oriented zero-defect Graphic Interface,Sports,14.15,Kemp-Tucker
149,Function-based next generation workforce,Clothing,272.68,"Lindsey, Gomez and Knapp"
150,Distributed full-range archive,Beauty,143.49,Jackson LLC
151,User-friendly neutral frame,Sports,99.58,Ellis-Watkins
152,Sharable actuating artificial intelligence,Toys,95.41,"Vasquez, Nguyen and Jackson"
153,Diverse mission-critical parallelism,Clothing,76.37,"Velez, Howell and Hart"
154,Virtual interactive Graphic Interface,Books,167.6,Clark PLC
155,Object-based modular extranet,Sports,19.68,"Marks, Clements and Elliott"
156,Business-focused client-server approach,Electronics,250.19,Ortega LLC
157,Future-proofed 5thgeneration intranet,Toys,145.49,Brown LLC
158,Virtual background Graphical User Interface,Sports,171.24,"Klein, Pugh and Campbell"
159,Operative non-volatile support,Beauty,119.95,Harrison-Flores
160,Team-oriented needs-based Graphical User Interface,Beauty,115.32,Mann and Sons
161,Synergistic real-time matrices,Home & Garden,32.95,Thornton-Cook
162,Seamless executive instruction set,Sports,102.36,Collins Ltd
163,Optional value-added concept,Books,147.68,Nelson PLC
164,Multi-channeled client-server adapter,Beauty,181.96,Gibbs-Harris
165,Open-source asynchronous architecture,Toys,102.7,"George, Fox and Lopez"
166,Digitized multi-state conglomeration,Beauty,21.53,"Reyes, Bailey and Morrison"
167,Ergonomic stable data-warehouse,Electronics,872.91,"Romero, Mitchell and Joseph"
168,Seamless asymmetric matrices,Home & Garden,283.33,Brock Group
169,Business-focused dynamic customer loyalty,Home & Garden,448.05,"Lara, Hall and Wagner"
170,Multi-layered explicit forecast,Sports,178.94,Rice LLC
171,Fully-configurable intangible projection,Electronics,1014.84,Brown-White
172,Ameliorated responsive portal,Beauty,75.89,Miller Group
173,Reactive needs-based application,Beauty,92.88,"Moore, Kerr and Johnson"
