store_id,store_name,city,region,opened_date
1,Holland-Stanley Store,"Seattle, WA",West,2023-03-02
2,"Burton, Campbell and Gonzalez Store","Phoenix, AZ",North,2022-11-20
3,Reed-Medina Store,"Los Angeles, CA",East,2023-06-12
4,"Grant, Blake and Porter Store","Jacksonville, FL",South,2024-04-18
5,Thomas Inc Store,"San Jose, CA",West,2021-07-01
6,"Werner, Miller and Johnson Store","Phoenix, AZ",Central,2021-05-19
7,"Morgan, Mitchell and Bennett Store","Columbus, OH",South,2021-08-26
8,Carter-Thomas Store,"San Antonio, TX",South,2024-04-29
9,"Harrison, Parks and Perkins Store","Los Angeles, CA",South,2022-03-22
10,Rogers-Brown Store,"Houston, TX",South,2021-08-28
11,"Richardson, Smith and Castro Store","Fort Worth, TX",North,2020-09-03
12,Fuller Inc Store,"Columbus, OH",East,2024-05-22
13,"Aguilar, Torres and Gonzalez Store","Los Angeles, CA",North,2021-09-24
14,Taylor-Cole Store,"Denver, CO",North,2021-01-10
15,Harris-Soto Store,"San Francisco, CA",Central,2020-08-15
16,"Johnson, Meyer and Moore Store","Philadelphia, PA",North,2021-10-06
17,"Boyd, Baker and Jordan Store","Phoenix, AZ",East,2021-08-29
18,Hernandez and Sons Store,"Phoenix, AZ",North,2022-02-22
19,Phillips-Vasquez Store,"San Diego, CA",North,2023-08-10
20,Jackson LLC Store,"New York, NY",Central,2021-02-24
21,Odonnell-Harris Store,"Columbus, OH",South,2023-02-07
22,Scott Inc Store,"Philadelphia, PA",West,2022-04-09
23,Mcknight PLC Store,"Phoenix, AZ",Central,2020-08-01
24,"Reed, Howe and Vasquez Store","San Jose, CA",West,2021-07-14
25,Davis and Sons Store,"Columbus, OH",East,2024-05-19
26,Mendez-Bell Store,"Charlotte, NC",North,2022-09-01
27,"Martin, Wilson and Lopez Store","San Jose, CA",North,2021-04-15
28,"Paul, Montgomery and Mckee Store","Phoenix, AZ",North,2020-07-29
29,"Martin, Richards and Pearson Store","Los Angeles, CA",Central,2024-05-16
30,Farley-Taylor Store,"Philadelphia, PA",Central,2020-09-17
31,Mitchell-Ramirez Store,"Philadelphia, PA",North,2022-02-08
32,Bennett-Ford Store,"Fort Worth, TX",West,2023-09-27
33,Jackson-Nolan Store,"Charlotte, NC",Central,2022-09-09
34,Brown-Becker Store,"Dallas, TX",Central,2023-01-24
35,Wright-Joyce Store,"Indianapolis, IN",East,2024-04-30
36,"Cunningham, Kelly and Andrade Store","San Diego, CA",West,2023-12-29
37,"Henson, Robertson and Wilson Store","Philadelphia, PA",East,2021-01-17
38,Fuller-Duran Store,"Chicago, IL",Central,2020-11-24
39,Rice and Sons Store,"Fort Worth, TX",South,2021-10-04
40,Thomas-Sanchez Store,"San Antonio, TX",West,2024-03-23
41,"Melton, Weaver and Ortiz Store","Boston, MA",North,2023-10-20
42,Herrera Inc Store,"San Diego, CA",West,2023-12-01
43,"Conner, Rice and Maxwell Store","Philadelphia, PA",Central,2021-03-19
44,Lamb Inc Store,"Boston, MA",North,2023-11-15
45,Lee-Arellano Store,"Charlotte, NC",West,2022-06-05
46,Gross PLC Store,"Austin, TX",West,2021-05-15
47,Perez PLC Store,"Fort Worth, TX",South,2021-08-17
48,Rojas Ltd Store,"Los Angeles, CA",East,2022-05-15
49,Vargas-Horton Store,"Columbus, OH",South,2023-12-15
